id,title,file,symbol,baseline,experiment,classification,gate,conflicts,lane,verdict,priority,snapshot,confidence,runtimePath,currentBehavior,exactModification,conceptsAdded,conceptsRemoved,expectedProductionMetric,testGate,benchmarkGate,windowsGate,dependencies,filesExclusivelyOwned,estimatedProductiveLOC,risk,rollback,touchesTelemetryCore,issue,draftPR,finalCommit
PERF-001,Reutilizar el contorno estático V2,frontend/src/overlay/widget-types/track-map/track-map-view-model-v2.ts,draw,209493ns/op on nightly,6919ns/op on nightly; n10 p<0.001,MEASURED-MAC-RELATIVE,paridad pistas/viewport/markers/estados; count10 BASE HEAD; full frontend,ninguno exacto en inventario,REACT-RUNTIME,IMPLEMENT NOW — WINDOWS CI REQUIRED,P2,659b2c57 final implementation,high pure-computation,draw,209493ns/op on nightly,Reutilizar el contorno estático V2,1 private bounded cache,0,only same constructor calculation; FPS UNKNOWN,paridad pistas/viewport/markers/estados; count10 BASE HEAD; full frontend,count10 same fixture + semantic parity,Windows CI before integration; physical only for native claims,ninguno exacto en inventario,frontend/src/overlay/widget-types/track-map/track-map-view-model-v2.ts,26 added / 3 removed,low,revert PR980,NO,979,980,330d33877b7e60cbfd475b6851220ff60266822b
PERF-002,Cargar rutas de OrbitShell por demanda,frontend/src/hub/components/orbit/OrbitShell.tsx,OrbitShell,603559 gzip Hub,433795 gzip,MEASURED-MAC-CANONICAL,intención prefetch; primera visita; KeepAlive estado Studio,PR801,HUB-BUNDLE,WAIT FOR ACTIVE MIGRATION,candidate not scheduled,813b96c4 audit,limited to stated experiment,OrbitShell,603559 gzip Hub,Cargar rutas de OrbitShell por demanda,not accepted before gate,0,UNKNOWN,intención prefetch; primera visita; KeepAlive estado Studio,intención prefetch; primera visita; KeepAlive estado Studio,Windows CI before integration; physical only for native claims,PR801,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-003,Cargar solo locale activo,frontend/src/i18n/i18n.ts,dictionaries,344925 gzip Desktop,247289 gzip,MEASURED-MAC-CANONICAL,races cambio idioma; fallback; offline; namespaces editor,locales en múltiples PRs; i18n.ts exclusivo,OVERLAY-BUNDLE,IMPLEMENT AFTER SMALL GATE,candidate not scheduled,813b96c4 audit,limited to stated experiment,dictionaries,344925 gzip Desktop,Cargar solo locale activo,not accepted before gate,0,UNKNOWN,races cambio idioma; fallback; offline; namespaces editor,races cambio idioma; fallback; offline; namespaces editor,Windows CI before integration; physical only for native claims,locales en múltiples PRs; i18n.ts exclusivo,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-004,Diferir rama de edición Desktop,frontend/src/overlay/CompositeApp.tsx,InPlaceEditModeBranch,344925 gzip,322942 gzip,MEASURED-MAC-CANONICAL,loading/error/edit/runtime/dispose parity,ISA894 CompositeApp; ordenar tras migración,OVERLAY-BUNDLE,WAIT FOR ACTIVE MIGRATION,candidate not scheduled,813b96c4 audit,limited to stated experiment,InPlaceEditModeBranch,344925 gzip,Diferir rama de edición Desktop,not accepted before gate,0,UNKNOWN,loading/error/edit/runtime/dispose parity,loading/error/edit/runtime/dispose parity,Windows CI before integration; physical only for native claims,ISA894 CompositeApp; ordenar tras migración,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-005,Diferir pack con TLA,frontend/src/overlay/widget-types/track-map/track-map-view-model-v2.ts,pack import,pack obligatorio,76358min chunk aún obligatorio,MEASURED-MAC-CANONICAL,sin ahorro de carga completa,PERF001 mismo archivo; PR237/242/244 geometría,REACT-RUNTIME,REJECT,candidate not scheduled,813b96c4 audit,limited to stated experiment,pack import,pack obligatorio,Diferir pack con TLA,not accepted before gate,0,UNKNOWN,sin ahorro de carga completa,sin ahorro de carga completa,Windows CI before integration; physical only for native claims,PERF001 mismo archivo; PR237/242/244 geometría,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-006,Separar CSS global del Overlay,frontend/src/index.css,imports,330651 CSS Desktop,UNKNOWN,MEASURED-MAC-CANONICAL,cobertura visual todos widgets/idiomas/resoluciones; used fonts,múltiples PRs index.css,HUB-BUNDLE,IMPLEMENT AFTER SMALL GATE,candidate not scheduled,813b96c4 audit,limited to stated experiment,imports,330651 CSS Desktop,Separar CSS global del Overlay,not accepted before gate,0,UNKNOWN,cobertura visual todos widgets/idiomas/resoluciones; used fonts,cobertura visual todos widgets/idiomas/resoluciones; used fonts,Windows CI before integration; physical only for native claims,múltiples PRs index.css,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-007,Sustituir Motion del Hub por CSS,frontend/src/hub,consumidores motion,211714 premin atribución,UNKNOWN en este snapshot,UNKNOWN,paridad salida animada y beneficio construido,diseño/Hub activos,HUB-BUNDLE,REJECT,candidate not scheduled,813b96c4 audit,limited to stated experiment,consumidores motion,211714 premin atribución,Sustituir Motion del Hub por CSS,not accepted before gate,0,UNKNOWN,paridad salida animada y beneficio construido,paridad salida animada y beneficio construido,Windows CI before integration; physical only for native claims,diseño/Hub activos,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-008,Separar cliente Supabase de bootstrap,frontend/src/lib/supabase-auth.ts,auth restore,341679 premin; 0 Overlay,UNKNOWN,UNKNOWN,auth/offline/grace; experimento separable,PR913/886/880,COMPOSITION,WAIT FOR ACTIVE MIGRATION,candidate not scheduled,813b96c4 audit,limited to stated experiment,auth restore,341679 premin; 0 Overlay,Separar cliente Supabase de bootstrap,not accepted before gate,0,UNKNOWN,auth/offline/grace; experimento separable,auth/offline/grace; experimento separable,Windows CI before integration; physical only for native claims,PR913/886/880,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-009,Sacar marshal del mutex exterior,internal/app/telemetry_core_runtime.go,publishOverlayV2,UNKNOWN contención runtime.mu,UNKNOWN,UNKNOWN,benchmark contención + revision/status ordering; no cambio Core,ISA894 propietario exclusivo,RUNTIME-PUBLISH,IMPLEMENT AFTER SMALL GATE,candidate not scheduled,813b96c4 audit,limited to stated experiment,publishOverlayV2,UNKNOWN contención runtime.mu,Sacar marshal del mutex exterior,not accepted before gate,0,UNKNOWN,benchmark contención + revision/status ordering; no cambio Core,benchmark contención + revision/status ordering; no cambio Core,Windows CI before integration; physical only for native claims,ISA894 propietario exclusivo,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-010,Precalcular política de publicación,internal/app/telemetry_core_runtime.go,overlayPerformancePolicy,UNKNOWN coste por frame,UNKNOWN,UNKNOWN,benchmark política aislada; invalidación SetPerformancePolicy,PERF009 mismo carril; ISA894,RUNTIME-PUBLISH,IMPLEMENT AFTER SMALL GATE,candidate not scheduled,813b96c4 audit,limited to stated experiment,overlayPerformancePolicy,UNKNOWN coste por frame,Precalcular política de publicación,not accepted before gate,0,UNKNOWN,benchmark política aislada; invalidación SetPerformancePolicy,benchmark política aislada; invalidación SetPerformancePolicy,Windows CI before integration; physical only for native claims,PERF009 mismo carril; ISA894,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-011,Pool para payloads y clones,internal/app/telemetrytransport,Publisher,7 allocs pull,sin experimento justificado,MEASURED-MAC-RELATIVE,no hotspot que justifique ownership adicional,transporte activo,RUNTIME-PUBLISH,REJECT,candidate not scheduled,813b96c4 audit,limited to stated experiment,Publisher,7 allocs pull,Pool para payloads y clones,not accepted before gate,0,UNKNOWN,no hotspot que justifique ownership adicional,no hotspot que justifique ownership adicional,Windows CI before integration; physical only for native claims,transporte activo,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
PERF-012,Paralelizar settings/profile startup,internal/app/settings_service.go,Load,18us settings;60us profile caliente,UNKNOWN cold startup,MEASURED-MAC-RELATIVE,marcadores Windows y profile grande,startup/main compartido,STORAGE-STARTUP,WINDOWS-RUNTIME-BLOCKED,candidate not scheduled,813b96c4 audit,limited to stated experiment,Load,18us settings;60us profile caliente,Paralelizar settings/profile startup,not accepted before gate,0,UNKNOWN,marcadores Windows y profile grande,marcadores Windows y profile grande,Windows CI before integration; physical only for native claims,startup/main compartido,see lane reservation and migration gate,not estimated until gate,unqualified,discard virtual transform; no product modification,NO,not created; gated proposal,none,none
