boundary,expected,result
before_append,no_rows_manifest_incomplete,PASS
before_commit,no_partial_chunk_manifest_incomplete,PASS
after_commit_before_manifest,db_ahead_manifest_old_recovery_copy,PASS
after_manifest_replace,db_and_watermark_advance,PASS
disk_full,recording_stops_live_not_blocked,PASS
manifest_permission,observable_incomplete_recoverable,PASS
slow_writer,commit_timeout_incomplete,PASS
volatile_rpo,first_pending_age_max_two_seconds,PASS
partial_checkpoint_rpo,oldest_remaining_cursor_and_epoch_age,PASS
idle_without_pending,no_false_rpo_failure,PASS
queue_full,no_drop_recording_stops,PASS
abort_blocked,bounded_context_and_close,PASS
append_checkpoint_complete_blocked,real_deadline_and_cancel,PASS
manifest_context_cancel,no_late_write_temp_or_handle,PASS
failure_stop_race_100x,incomplete_and_complete_never_called,PASS
cancel_and_double_stop,idempotent_teardown,PASS
active_recovery,rejected,PASS
cross_store_process_lease,exclusive_and_kernel_released_after_exit,PASS
future_or_traversal_manifest,metadata_only_or_rejected,PASS
encoded_unicode_dsn,full_roundtrip_and_recovery,PASS
reader_crc_or_identity,corruption_rejected,PASS
